11:24,,,17-Jun,,,,"Invested:
",,"4,600,370",12,,,"33,776",,,"31,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,30,DH,Date,Pos,Qty,EP,CMP,%Chan,Inv.,TP,TVA,TPR,PL,ED,EXP,PR,PP,IV,IP,NT,Qt,7,%Ch,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
MID150BEES,#N/A,#N/A,22-Nov-2024,1,200,227.02,222.19,-2.13%,45404,254.26,50852,"₹5,448",-966,,,,,147000,3.20,2,660.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,13-Dec-2024,1,500,47.13,40.74,-13.56%,23565,52.79,26393,"₹2,828","-3,195",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,20-Dec-2024,0,700,124,126.92,0.00%,,,,,,2-Jan-2025,127.83,2681,3.1,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,16-Dec-2024,0,1100,86.85,103.65,0.00%,,,,,,30-Jan-2025,88.49,1804,1.9,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,22-Nov-2024,0,607,93,103.65,,,,,,,14-Feb-2025,93.3,182.1,0.3,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,22-Nov-2024,0,800,66,82.61,0.00%,,,,,,28-Jan-2025,67.5,1200,2.3,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,16-Dec-2024,0,1560,64.25,82.61,0.00%,,,,,,10-Jan-2025,65.87,2527.2,2.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,16-Dec-2024,1,1600,59.73,58.3,-2.39%,95568,66.90,107036,"₹11,468","-2,288",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,16-Dec-2024,1,50,780.32,722.72,-7.38%,39016,873.96,43698,"₹4,682","-2,880",,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,16-Dec-2024,1,360,128.2,126.92,-1.00%,46152,143.58,51690,"₹5,538",-461,,,,,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,16-Dec-2024,1,2800,24.31,23.83,-1.97%,68068,27.23,76236,"₹8,168","-1,344",,,,,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,16-Dec-2024,1,4500,22.7,22.28,-1.85%,102150,25.42,114408,"₹12,258","-1,890",,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,20-Dec-2024,1,120,733.42,722.72,-1.46%,88010,821.43,98572,"₹10,561","-1,284",,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,20-Dec-2024,1,472,124.1,126.92,2.27%,58575,138.99,65604,"₹7,029","1,331",,,,,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,23-Dec-2024,0,300,85.44,103.65,0.00%,,,,,,10-Jan-2025,87.52,624,2.4,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,24-Dec-2024,1,130,738.96,722.72,-2.20%,96065,827.64,107593,"₹11,528","-2,111",,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,24-Dec-2024,0,400,265.43,278.9,0.00%,,,,,,28-Jan-2025,256.06,-3748,-3.5,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCPVTBAN,#N/A,#N/A,24-Dec-2024,0,4000,25.19,28.09,0.00%,,,,,,28-Jan-2025,24.36,-3320,-3.3,109296,2.38,1,4400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,24-Dec-2024,0,5000,23.2,23.83,0.00%,,,,,,27-Dec-2024,23.72,2600,2.2,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRABEES,#N/A,#N/A,24-Dec-2024,1,120,880.51,933.97,6.07%,105661,986.17,118341,"₹12,679","6,415",,,,,312813,6.80,3,355.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,27-Dec-2024,1,2300,44.79,40.74,-9.04%,103017,50.16,115379,"₹12,362","-9,315",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCSML250,#N/A,#N/A,30-Dec-2024,0,600,178.27,174.2,0.00%,,,,,,28-Jan-2025,149.26,-17406,-16.3,108739,2.36,1,650.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,30-Dec-2024,0,1200,85.03,103.65,0.00%,,,,,,7-Jan-2025,87.06,2436,2.4,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,30-Dec-2024,0,400,137.39,136,0.00%,,,,,,28-Jan-2025,140.76,1348,2.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEXT50IETF,#N/A,#N/A,30-Dec-2024,1,1400,70.9,70.55,-0.49%,99260,79.41,111171,"₹11,911",-490,,,,,99260,2.16,1,1400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIF100BEES,#N/A,#N/A,30-Dec-2024,1,400,259.64,268.09,3.25%,103856,290.80,116319,"₹12,463","3,380",,,,,103856,2.26,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,31-Dec-2024,0,1200,83.64,103.65,0.00%,,,,,,1-Mar-2025,85.55,2292,2.3,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,31-Dec-2024,1,1700,59.31,58.3,-1.70%,100827,66.43,112926,"₹12,099","-1,717",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,31-Dec-2024,0,1000,64.09,82.61,0.00%,,,,,,27-01-2025,67.5,3410,5.3,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,1-Jan-2025,1,400,125.55,126.92,1.09%,50220,140.62,56246,"₹6,026",548,,,,,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,2-Jan-2025,0,400,133.12,136,0.00%,,,,,,3-Jan-2025,139.11,2396,4.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRABEES,#N/A,#N/A,3-Jan-2025,1,115,892.7,933.97,4.62%,102661,999.82,114980,"₹12,319","4,746",,,,,312813,6.80,3,355.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINIETF,#N/A,#N/A,3-Jan-2025,1,4000,26.63,30.47,14.42%,106520,29.83,119302,"₹12,782","15,360",,,,,310440,6.75,3,12000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID150BEES,#N/A,#N/A,3-Jan-2025,1,460,220.86,222.19,0.60%,101596,247.36,113787,"₹12,191",612,,,,,147000,3.20,2,660.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,#N/A,#N/A,6-Jan-2025,1,20,101.03,93.75,-7.21%,2021,113.15,2263,₹242,-146,,,,,215476,4.68,3,2220.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,6-Jan-2025,0,800,59.82,58.3,0.00%,,,,,,28-Jan-2025,58.2,-1296,-2.7,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINIETF,#N/A,#N/A,7-Jan-2025,1,4000,25.85,30.47,17.87%,103400,28.95,115808,"₹12,408","18,480",,,,,310440,6.75,3,12000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRABEES,#N/A,#N/A,7-Jan-2025,1,120,870.76,933.97,7.26%,104491,975.25,117030,"₹12,539","7,585",,,,,312813,6.80,3,355.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,#N/A,#N/A,7-Jan-2025,1,1100,98.47,93.75,-4.79%,108317,110.29,121315,"₹12,998","-5,192",,,,,215476,4.68,3,2220.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,8-Jan-2025,1,50,711.13,722.72,1.63%,35557,796.47,39823,"₹4,267",580,,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,9-Jan-2025,1,150,705.73,722.72,2.41%,105860,790.42,118563,"₹12,703","2,549",,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCPVTBAN,#N/A,#N/A,9-Jan-2025,1,4400,24.84,28.09,13.08%,109296,27.82,122412,"₹13,116","14,300",,,,,109296,2.38,1,4400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,9-Jan-2025,1,1650,60.7,58.3,-3.95%,100155,67.98,112174,"₹12,019","-3,960",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,10-Jan-2025,1,850,124.78,126.92,1.72%,106063,139.75,118791,"₹12,728","1,819",,,,,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM30IETF,#N/A,#N/A,13-Jan-2025,1,3200,31.34,31.97,2.01%,100288,35.10,112323,"₹12,035","2,016",,,,,202060,4.39,2,6500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,13-Jan-2025,0,550,192,181.99,0.00%,,,,,,16-Jan-2025,196.81,2645.5,2.5,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,13-Jan-2025,0,800,136,136,0.00%,,,,,,22-Jan-2025,146.09,8072,7.4,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,13-Jan-2025,1,2400,45.3,40.74,-10.07%,108720,50.74,121766,"₹13,046","-10,944",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,13-Jan-2025,0,4500,23.24,23.83,0.00%,,,,,,3-Feb-2025,23.8,2520,2.4,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIETF,#N/A,#N/A,13-Jan-2025,0,750,145.05,145.46,0.00%,,,,,,13-Jan-2025,149.01,2970,2.7,317355,6.90,3,2250.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,#N/A,#N/A,13-Jan-2025,1,1100,95.58,93.75,-1.91%,105138,107.05,117755,"₹12,617","-2,013",,,,,215476,4.68,3,2220.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,13-Jan-2025,1,4600,22.64,22.28,-1.59%,104144,25.36,116641,"₹12,497","-1,656",,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCSML250,#N/A,#N/A,13-Jan-2025,1,650,167.29,174.2,4.13%,108739,187.36,121787,"₹13,049","4,492",,,,,108739,2.36,1,650.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIETF,#N/A,#N/A,14-Jan-2025,1,750,143.65,145.46,1.26%,107738,160.89,120666,"₹12,929","1,358",,,,,317355,6.90,3,2250.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITBEES,#N/A,#N/A,21-Jan-2025,0,2300,45.28,42.85,0.00%,,,,,,23-Jan-2025,46.87,3657,3.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,21-Jan-2025,0,500,207.5,181.99,0.00%,,,,,,22-Jan-2025,213.1,2800,2.7,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,23-Jan-2025,0,400,259.45,278.9,0.00%,,,,,,28-Jan-2025,256.2,-1300,-1.3,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,23-Jan-2025,0,1200,87.8,103.65,0.00%,,,,,,31-Jan-2025,90.05,2700,2.6,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,23-Jan-2025,0,1200,87.8,103.65,0.00%,,,,,,31-Jan-2025,90.27,2964,2.8,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,23-Jan-2025,0,4400,23.03,23.83,0.00%,,,,,,1-Feb-2025,23.81,3432,3.4,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCPVTBAN,#N/A,#N/A,23-Jan-2025,0,4200,24.23,28.09,0.00%,,,,,,28-Jan-2025,24.14,-378,-0.4,109296,2.38,1,4400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,23-Jan-2025,0,150,672.25,722.72,0.00%,,,,,,5-Feb-2025,686.98,2209.5,2.2,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,23-Jan-2025,1,4500,22.3,22.28,-0.09%,100350,24.98,112392,"₹12,042",-90,,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,24-Jan-2025,0,400,259.65,278.9,0.00%,,,,,,28-Jan-2025,256.01,-1456,-1.4,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCSML250,#N/A,#N/A,24-Jan-2025,0,650,162.18,174.2,0.00%,,,,,,28-Jan-2025,149.26,-8398,-8.0,108739,2.36,1,650.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOM30IETF,#N/A,#N/A,24-Jan-2025,1,3300,30.84,31.97,3.66%,101772,34.54,113985,"₹12,213","3,729",,,,,202060,4.39,2,6500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,24-Jan-2025,1,4500,22.51,22.28,-1.02%,101295,25.21,113450,"₹12,155","-1,035",,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIETF,#N/A,#N/A,24-Jan-2025,1,700,144.47,145.46,0.69%,101129,161.81,113264,"₹12,135",693,,,,,317355,6.90,3,2250.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID150BEES,#N/A,#N/A,27-Jan-2025,0,550,197.4,222.19,0.00%,,,,,,28-Jan-2025,194.53,-1578.5,-1.5,147000,3.20,2,660.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCSML250,#N/A,#N/A,27-Jan-2025,0,650,154.39,174.2,0.00%,,,,,,28-Jan-2025,151.26,-2034.5,-2.0,108739,2.36,1,650.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,27-Jan-2025,1,500,212.09,181.99,-14.19%,106045,237.54,118770,"₹12,725","-15,050",,,,,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMOMENTUM,#N/A,#N/A,27-Jan-2025,0,1700,59.48,63.8,0.00%,,,,,,28-Jan-2025,58,-2516,-2.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAKEINDIA,#N/A,#N/A,27-Jan-2025,0,800,130.78,144.61,0.00%,,,,,,28-Jan-2025,128.1,-2144,-2.0,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,27-Jan-2025,0,800,135.82,136,0.00%,,,,,,7-Feb-2025,141.5,4544,4.2,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,27-Jan-2025,0,500,210.3,181.99,0.00%,,,,,,28-Jan-2025,198.2,-6050,-5.8,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,27-Jan-2025,0,900,118.72,126.92,0.00%,,,,,,28-Jan-2025,118.03,-621,-0.6,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,27-Jan-2025,0,400,255.36,278.9,0.00%,,,,,,28-Jan-2025,256.69,532,0.5,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,27-Jan-2025,0,400,255.35,278.9,0.00%,,,,,,28-Jan-2025,257.69,936,0.9,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,27-Jan-2025,0,5000,21.69,22.28,0.00%,,,,,,28-Jan-2025,21.09,-3000,-2.8,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,#N/A,#N/A,27-Jan-2025,0,1100,91.64,93.75,0.00%,,,,,,28-Jan-2025,90.28,-1496,-1.5,215476,4.68,3,2220.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,29-Jan-2025,0,500,207.7,181.99,0.00%,,,,,,7-Feb-2025,211.8,2050,2.0,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,30-Jan-2025,0,500,206.24,181.99,0.00%,,,,,,5-Feb-2025,209.95,1855,1.8,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,31-Jan-2025,0,800,134.86,136,0.00%,,,,,,5-Feb-2025,137.61,2200,2.0,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONQ50,#N/A,#N/A,31-Jan-2025,1,1200,90.24,74.33,-17.63%,108288,101.07,121283,"₹12,995","-19,092",,,,,108288,2.35,1,1200.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,31-Jan-2025,1,400,262.12,278.9,6.40%,104848,293.57,117430,"₹12,582","6,712",,,,,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,31-Jan-2025,1,2400,43.9,40.74,-7.20%,105360,49.17,118003,"₹12,643","-7,584",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,31-Jan-2025,0,1500,68.94,82.61,0.00%,,,,,,5-Feb-2025,70.85,2865,2.8,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,31-Jan-2025,1,1700,59.49,58.3,-2.00%,101133,66.63,113269,"₹12,136","-2,023",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,1-Feb-2025,0,500,202.45,181.99,0.00%,,,,,,4-Feb-2025,206.83,2190,2.2,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,1-Feb-2025,0,1000,124.78,126.92,0.00%,,,,,,1-Feb-2025,126.5,1720,1.4,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,31-Jan-2025,0,1200,90.21,103.65,0.00%,,,,,,31-Jan-2024,90.06,-180,-0.2,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,4-Feb-2025,1,1700,59.94,58.3,-2.74%,101898,67.13,114126,"₹12,228","-2,788",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,31-Jan-2025,0,1200,90.24,103.65,0.00%,,,,,,5-Feb-2025,92.15,2292,2.1,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,7-Feb-2025,1,1800,58.14,58.3,0.28%,104652,65.12,117210,"₹12,558",288,,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,7-Feb-2025,1,1800,57.96,58.3,0.59%,104328,64.92,116847,"₹12,519",612,,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,11-Feb-2025,0,1200,91.28,103.65,,,,,,,12-Feb-2025,92.66,1656,1.5,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOIETF,#N/A,#N/A,12-Feb-2025,0,4500,22.92,23.83,,,,,,,12-Feb-2025,22.91,-45,0.0,68068,1.48,1,2800.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHIETF,#N/A,#N/A,14-Feb-2025,1,800,135.61,145.46,7.26%,108488,151.88,121507,"₹13,019","7,880",,,,,317355,6.90,3,2250.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,14-Feb-2025,1,4800,21.26,22.28,4.80%,102048,23.81,114294,"₹12,246","4,896",,,,,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINIETF,#N/A,#N/A,14-Feb-2025,1,4000,25.13,30.47,21.25%,100520,28.15,112582,"₹12,062","21,360",,,,,310440,6.75,3,12000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,14-Feb-2025,0,400,257.36,278.9,,,,,,,10-Jun-2025,278.8,8576,8.3,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M,#N/A,#N/A,,,,,3012,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,#N/A,#N/A,,,,,922.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,#N/A,#N/A,,,,,6089.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYIENT,#N/A,#N/A,,,,,1338,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,#N/A,#N/A,,,,,7067.5,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,#N/A,#N/A,,,,,1426.9,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,#N/A,#N/A,,,,,1635.9,,,,,,,,,0,,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,10-Jun-2025,1,1000,102.1,103.65,1.52%,102100,114.35,114352,"₹12,252","1,550",,,,,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,